FRUTO,SEVERIDAD,Rain,Temperature,RH,DewPoint,WindSpeed,GustSpeed,WindDirection,INCIDENCIA
1,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
2,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
3,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
4,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
5,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
6,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
7,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
8,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
9,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
10,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
1,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
2,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
3,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
4,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
5,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
6,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
7,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
8,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
9,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
10,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
1,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
2,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
3,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
4,0,0.010912698,26.02497917,81.82256349,22.11610665,0.108382937,0.774305556,130.7420635,0
